title,length,publish_date,author,url
"""कमेरा म्वारा"" - KAMERA MWARA- Official Song- Narendra Singh Negi- GARHWALI VIDEO SONG",423,2022-01-18 00:00:00,NARENDRA SINGH NEGI -OFFICIAL CHANNEL,https://www.youtube.com/watch?v=KpI9nXiSoRU
मैमा न पूछा | MAI MA NA PUCHA - OFFICIAL SONG | KAVILAS NEGI | GARHWALI SONG | NARENDRA SINGH NEGI,295,2021-01-21 00:00:00,NARENDRA SINGH NEGI -OFFICIAL CHANNEL,https://www.youtube.com/watch?v=6Skjmc_W26M
क्वी त् बात होलि | KUI TA BAAT HOLI - OFFICIAL SONG | NARENDRA SINGH NEGI  | GARHWALI SONG,308,2020-12-24 00:00:00,NARENDRA SINGH NEGI -OFFICIAL CHANNEL,https://www.youtube.com/watch?v=S-Q8YOdkaIA
Jakh Meri Maya Roundi | Narendra Singh Negi | Latest Uttarakhandi Song,475,2019-10-25 00:00:00,NARENDRA SINGH NEGI -OFFICIAL CHANNEL,https://www.youtube.com/watch?v=Vdv3TsnLO5w
Barkha Jhuki Aege - Narendra Singh Negi New Garhwali Video Song 2018,356,2018-06-30 00:00:00,NARENDRA SINGH NEGI -OFFICIAL CHANNEL,https://www.youtube.com/watch?v=BAc2Pwyw_UM
Hori Aege - Narendra Singh Negi Garhwali Holi Video Song New 2018,417,2018-02-24 00:00:00,NARENDRA SINGH NEGI -OFFICIAL CHANNEL,https://www.youtube.com/watch?v=inyCbYPIaNo
KARAOKE New Garhwali Song || Teru Subhashish || तेरु शुभाशीष || Saraswati Wandana || MGV DIGITAL,217,2021-05-26 00:00:00,MGV DIGITAL,https://www.youtube.com/watch?v=4NpVEMXcaLQ
New Garhwali Song || Teru Subhashish || तेरु शुभाशीष || Saraswati Wandana || MGV DIGITAL,226,2021-05-07 00:00:00,MGV DIGITAL,https://www.youtube.com/watch?v=F2zdonWiBaI
New Garhwali Song | Jay Ho Uttarakhand Bhoomi | जय हो उत्तराखण्ड भूमी | Asha Bhatt | Saurabh Uniyal,382,2021-05-01 00:00:00,MGV DIGITAL,https://www.youtube.com/watch?v=Pp2sB8MK5wk
New Garhwali song 2021 || मैत की खुद || Mait Ki Khud || आशा भट्ट || सुमंत पंवार || MGV DIGITAL,403,2021-02-11 00:00:00,MGV DIGITAL,https://www.youtube.com/watch?v=3WR3ExUySbQ
New Garhwali Song || Rangeeli Syali || रंगीली सयाली || Manoj Pahadi & Shweta Pathriyal | MGV DIGITAL,269,2020-11-14 00:00:00,MGV DIGITAL,https://www.youtube.com/watch?v=WCuXZeIcXsY
New Garhwali Song || Hudka Ki Taal || हुड़का की ताल  || Dinesh Rawat & Jay Singh Gusain|| MGV DIGITAL,277,2020-11-07 00:00:00,MGV DIGITAL,https://www.youtube.com/watch?v=VYHZYFjKZH8
New Garhwali Song || Bajo Gailya Dholki || बजौ गैल्या ढोलकी || Sarita Rawat || MGV DIGITAL,361,2020-10-22 00:00:00,MGV DIGITAL,https://www.youtube.com/watch?v=WgsHfsgxUck
"""Jhanwari"" || Vivek Nautiyal || Gunjan Dangwal || Subhash Pandey || Uttarakhandi Song",237,2020-08-18 00:00:00,MGV DIGITAL,https://www.youtube.com/watch?v=5CXIu49ergc
Ganjyali || गंज्याली || Gunjan Dangwal || Pradeep Lingwan || Ranjeet Singh || Uttarakhandi Song,267,2020-06-14 00:00:00,MGV DIGITAL,https://www.youtube.com/watch?v=beWsZgHqP2A
Chakhnyo (चखन्यौ) | Gunjan Dangwal & Vishal Sharma Ft.Pahadian | Pradeep Lingwan | Uttarakhandi Song,317,2020-04-05 00:00:00,MGV DIGITAL,https://www.youtube.com/watch?v=D78wW8nvsgE
New Garhwali Bhajan || Kripa Teri Holi Ma || Jagdambe Mata || कृपा तेरी होली मां,327,2020-03-25 00:00:00,MGV DIGITAL,https://www.youtube.com/watch?v=HPsNsufJxcM
New Pahadi Video Song: Aadha Raat | LB Shivam Bhatt| Chandana Negi| Naveen Dhyani| Creative Budbak,292,2020-02-11 00:00:00,MGV DIGITAL,https://www.youtube.com/watch?v=O9NHpuw0eUo
